ลำดับ	ชื่อ	ชื่อสถานประกอบการ	ที่อยู่	หมู่	ถนน	ตำบล	อำเภอ	รหัสไปรษณีย์	โทรศัพท์	กิจการ	N	E
1	นายสกนธ์ ทุ่งคาใน	ลานเทลัดดาปาล์ม	196/1	9	 	คลองชะอุ่น	พนม	84250	063-0817024	รับซื้อปาล์ม	8.7171	98.874
2	สหกรณ์นิคมพนม จำกัด	สหกรณ์นิคมพนม จำกัด	114/5	3	พนม-นาเหนือ	ต้นยวน	พนม	84250	0 7792 9359	รับซื้อปาล์ม ยางพารา	8.52.3279	98.51.1084
3	นายวราวุฒิ สาระพงษ์	ศักดิ์ชายลานเทปาล์ม-สาขาเขาเขียว	 	12		คลองชะอุ่น	พนม	84250	080-6937372	รับซื้อปาล์ม	8.6931963	98.8581368
4	นางสาวเมวดี  ชุมขุน	ลานเทชุมขุนปาล์ม	238	6	สุราษฎร์-เขาต่อ	คลองชะอุ่น	พนม	84250	081-1251956	รับซื้อปาล์ม	8.67431	98.82542
5	นายสมรัก คำเกิด	ลานปาล์ม เดชทวีพารวย	99	4	สุราษฎร์ธานี-เขาต่อ	คลองชะอุ่น	พนม	84250	082-8196599	รับซื้อปาล์ม	8.7283	98.79998
6	นายไชยันต์ แสงจันทร์	ลานเท สวนแสงจันทร์ (ฟ้ามีตา)	294	5	พนม-พังงา	คลองชะอุ่น	พนม	84250	080-245193	รับซื้อปาล์ม	8.701617	98.7943263
7	บจ.ซัน ซิตี้ อินเตอร์เนชั่นแนล โฮลดิ้ง	บจ.ซัน ซิตี้ อินเตอร์เนชั่นแนล โฮลดิ้ง	104	2	 	ต้นยวน	พนม	84250	077-929347	รับซื้อปาล์ม ไม้ยางพารา	08.87539	098.87184
8	นายสามารถ พรหมช้าง 	แสนสุขพืชผล	201	2	สุราษฎร์-เขาต่อ	คลองชะอุ่น	พนม	84250	077-398118	รับซื้อปาล์ม	8.770070	98.823590
9	นายเกรียงไกร จั่นเพชร 	เบญจาปาล์ม 1	79	1	พนม-ทับปุด	พลูเถื่อน	พนม	84250	081-9784988	รับซื้อปาล์ม	8.707800	98.741020
10	นส.จุตพร ทุ่งคาใน	จักรพรรดิ์ปาล์ม & แสนสุข	230	2	 	คลองชะอุ่น	พนม	84230	098-0380824	รับซื้อปาล์ม	8.7873971	98.8282171
11	นายรัชฎาภรณ์ ช่วยสงค์	ลานเทปาล์มเขาสก	254	6	ตะกั่วป่า-สุราษฎร์	คลองสก	พนม	84250	089-8716993	รับซื้อปาล์ม	8.89204	98.54789
12	บจ.กลุ่มสมอทอง (สาขา1) หน่วยงาน 9	บจ.กลุ่มสมอทอง (สาขา1) หน่วยงาน 9	58	2	 	พนม	พนม	84250	 	รับซื้อปาล์ม	8.8237561	98.8093165
13	นายปราโมทย์ แสงแก้ว	แสงแก้วปาล์มทอง	 	5	 	ต้นยวน	พนม	84250	085-4748869	รับซื้อปาล์ม	8.76312	98.87414
14	นางทองใบ จันทร์คง 	ลานเทสามารถ 	134	11		คลองชะอุ่น	พนม	84250	0-9727-9954	รับซื้อปาล์ม		
15	นายนิติ ขุนณรงค์	ขุนณรงค์ลานเท	221	7	 	คลองชะอุ่น	พนม	84250	092-2681915	รับซื้อปาล์ม	8.7265	98.8202
16	นายเกรียงสิทธิ์ ศิลปชาตรี	ลานปาล์มบ้านถ้ำผึ้ง	374	5	บ้านถ้ำผึ้ง	ต้นยวน	พนม	84250	087-9748788	รับซื้อปาล์ม	8.78838	98.87031
17	นายธนกร คงครอง	คงครองรุ่งเรื่อง	81	1	พนม-ทับปุด	พนม	พนม	84250	082-9186186	รับซื้อปาล์ม	8.83785	98.80744
18	นายสุรศักดิ์ ห้าวหาญ	ห้าวหาญการเกษตร 	131	1	พนม-ทับปุด	พลูเถื่อน	พนม	84250	08-4845-1829	รับซื้อปาล์ม	8.7436	98.7453
19	นางอุบลรัตน์ โสภา	ลานเท ป.รุ่งเรืองปาล์ม	87	4	กม.63-ถ้ำผึ้ง	ต้นยวน	พนม	84250	08-9874-8443	รับซื้อปาล์ม	8.84559	98.86457
20	นส.เมวดี ชุมขุน	ลานเทชุมขุนปาล์ม (สาขา 2)	241	8	พนม-เขาศก	คลองชะอุ่น	พนม	84250	082-6597988	รับซื้อปาล์ม	8.67695	98.78491
21	นายเหลี่ยม คงจันทร์ 	ณภัทรปาล์ม	424	8	เขานาใน-เขาวง	ต้นยวน	พนม	84250	08-6282-9989	รับซื้อปาล์ม	 	 
22	นายสมรัก คำเกิด	ลานปาล์มเดชทวี	99/1	5	 	คลองชะอุ่น	พนม	84250	082-8196599	รับซื้อปาล์ม	 	 
23	บจ.จิรัสย์ปาล์ม 	หน่วยงานแสนสุขพืชผล  สาขา 2	73/2	7		พนม	พนม	84250	082-4115193	รับซื้อปาล์ม	8.834	98.789
